Tonight (Best You Ever Had)	John Legend 	John Legend, Ludacris	English	2012	r&b 	soul	flirting 	smooth 	synthesizer	8	8	9	9	9	2	4
Triggered 	Jhene Aiko	Jhene Aiko 	English	2019	r&b 	soul	breakup	hurt	synthesizer	9	9	10	9	8	1	2
Under Pressure	Queen, David Bowie	Queen, David Bowie	English	1981	Rock	soft rock	ethical	exciting	guitar	6	9	7	8	10	5	10
Unfazed	LIL UZI	LIL UZI (feat.The Weekend)	English	2017	hip hop 	Rap	Fearless	Hype	Synthesizer 	5	1	6	6	2	5	10
Using You	Mars Argo	Mars Argo	English	2010	Pop	Alternative	Relationship	emotional	drums	8	7	8	8	7	8	5
Vertigo	Khalid 	Khalid	English	2018	pop	R&B	life	happy	drums	6	7	8	8	7	5	7
Vertigo	Khalid	Khalid	English	2018	R&B	null	Confusion	Chill	Synthesizer	5	9	6	7	7	7	2
Violet	Courtney Love and Eric Erlandson	Courtney Love/ Hole	English	1994	Rock	Grunge	Abandoned romance	Rebel	Guitar	9	8	9	5	7	5	7
What Goes Around Comes Around	Justin T., Danja, Timbaland	Justin Timberlake	English	2006	r&b	null	betrayal	regret	guitar	8	5	7	8	7	6	8
What is Love?	Twice	Twice	Korean	2018	kpop	Rap	love		sythesizer	4	7	7	7	7	4	6
What You Want	Shane Stevens, Savannah	Savannah	English	2017	Pop	Punk	Need	chill	Drum	8	7	8	5	6	6	6
When I'm With U	Tritonal	Tritonal, Maia Wright	English	2018	Pop	Electronic	Wanting someone	Nostalgic	Synthesizer	7	6	7	6	7	7	7
Wish I Never Met You	Loote	Loote	English	2018	Pop	null	Not wanting someone	Regretful	Synthesizer	7	7	7	6	7	7	7
Worldwide 	Big Time Rush 	big time rush 	English 	2009	pop	null	hurt	sad	drum	5	6	7	6	6	8	7
Yikes	Kanye West	Kanye West	English	2018	hip Hop	rap	storytelling	energetic	cymbal	5	7	4	6	6	5	4
